id,Response,key,percent_match,Scored,Condition.Number,Condition.Description,Stimuli.Cue,Stimuli.Shuffle,Stimuli.Stimuli.Notes,Procedure.Shuffle,Procedure.Shuffle.1,Response.RT,Platform
w10128215_bnc,balloon,bounce,0.428571429,0,1,Read,bat,Study1,M,Study Phase,Recall1,1231,USM
w10133134_lpc,butter,bounce,0.5,0,1,Read,bat,Study1,M,Study Phase,Recall1,1350,USM
w10143398_abc,bottom,bounce,0.333333333,0,1,Read,bat,Study1,M,Study Phase,Recall1,4376,USM
w10157282_HBR,ball,bounce,0.166666667,0,1,Read,bat,Study1,M,Study Phase,Recall1,1137,USM
10143815SK,,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,1495,USM
BrettThompson,sun,box,0,0,1,Read Recall,beach,Study1,M,Study Phase,Recall1,2219,USM
BrookeMask,sand,box,0,0,1,Read Recall,beach,Study1,M,Study Phase,Recall1,1140,USM
jasminesherman,,box,0,0,1,Read Recall,beach,Study1,M,Study Phase,Recall1,803,USM
NicolasMunoz,,box,0,0,1,Read Recall,beach,Study1,M,Study Phase,Recall1,1064,USM
TaravionCosey,box,box,1,1,1,Read Recall,beach,Study1,M,Study Phase,Recall1,7920,USM
w10046339_pw,box,box,1,1,1,Read,beach,Study1,M,Study Phase,Recall1,1303,USM
W10057641NS,,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,223,USM
w10062326CT,sand,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,2136,USM
w10080028_sac,boc,box,0.666666667,0,1,Read,beach,Study1,M,Study Phase,Recall1,1314,USM
w10085225L.S,tan,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,1143,USM
w10101381_mgk,?,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,3922,USM
w10118390Eh,sand,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,545,USM
w10128215_bnc,lay,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,1221,USM
w10133134_lpc,box,box,1,1,1,Read,beach,Study1,M,Study Phase,Recall1,1779,USM
w10143398_abc,idk,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,2391,USM
w10157282_HBR,sand,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,154,USM
10143815SK,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,1209,USM
BrettThompson,pie,pie,1,1,1,Read Recall,birthday,Study1,M,Study Phase,Recall1,7711,USM
BrookeMask,pie,pie,1,1,1,Read Recall,birthday,Study1,M,Study Phase,Recall1,1672,USM
jasminesherman,,pie,0,0,1,Read Recall,birthday,Study1,M,Study Phase,Recall1,1019,USM
NicolasMunoz,,pie,0,0,1,Read Recall,birthday,Study1,M,Study Phase,Recall1,1321,USM
TaravionCosey,cake ,pie,0.2,0,1,Read Recall,birthday,Study1,M,Study Phase,Recall1,9199,USM
w10046339_pw,cake,pie,0.25,0,1,Read,birthday,Study1,M,Study Phase,Recall1,1245,USM
W10057641NS,,pie,0,0,1,Read,birthday,Study1,M,Study Phase,Recall1,247,USM
w10062326CT,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,2492,USM
w10080028_sac,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,1137,USM
w10085225L.S,cake,pie,0.25,0,1,Read,birthday,Study1,M,Study Phase,Recall1,826,USM
w10101381_mgk,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,2048,USM
w10118390Eh,party,pie,0.2,0,1,Read,birthday,Study1,M,Study Phase,Recall1,415,USM
w10128215_bnc,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,1216,USM
w10133134_lpc,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,1614,USM
w10143398_abc,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,6953,USM
w10157282_HBR,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,1024,USM
10143815SK,birthday,hand,0.375,0,1,Read,cake,Study1,U,Study Phase,Recall1,1722,USM
BrettThompson,cup,hand,0,0,1,Read Recall,cake,Study1,U,Study Phase,Recall1,2766,USM
BrookeMask,pie,hand,0,0,1,Read Recall,cake,Study1,U,Study Phase,Recall1,1144,USM
jasminesherman,,hand,0,0,1,Read Recall,cake,Study1,U,Study Phase,Recall1,886,USM
NicolasMunoz,charm,hand,0.4,0,1,Read Recall,cake,Study1,U,Study Phase,Recall1,1236,USM
TaravionCosey,hand,hand,1,1,1,Read Recall,cake,Study1,U,Study Phase,Recall1,5695,USM
w10046339_pw,hand,hand,1,1,1,Read,cake,Study1,U,Study Phase,Recall1,1458,USM
W10057641NS,jam,hand,0.25,0,1,Read,cake,Study1,U,Study Phase,Recall1,122,USM
w10062326CT,fork,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,7694,USM
w10080028_sac,,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,1447,USM
w10085225L.S,bake,hand,0.25,0,1,Read,cake,Study1,U,Study Phase,Recall1,800,USM
w10101381_mgk,hand,hand,1,1,1,Read,cake,Study1,U,Study Phase,Recall1,4235,USM
w10118390Eh,cup,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,485,USM
w10128215_bnc,,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,1172,USM
w10133134_lpc,pie,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,1895,USM
w10143398_abc,idk,hand,0.25,0,1,Read,cake,Study1,U,Study Phase,Recall1,2650,USM
w10157282_HBR,plate,hand,0.2,0,1,Read,cake,Study1,U,Study Phase,Recall1,1088,USM
10143815SK,,carpet,0,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,1510,USM
BrettThompson,floor,carpet,0.166666667,0,1,Read Recall,ceiling,Study1,M,Study Phase,Recall1,2160,USM
BrookeMask,floor,carpet,0.166666667,0,1,Read Recall,ceiling,Study1,M,Study Phase,Recall1,1486,USM
jasminesherman,,carpet,0,0,1,Read Recall,ceiling,Study1,M,Study Phase,Recall1,4138,USM
NicolasMunoz,fan,carpet,0.166666667,0,1,Read Recall,ceiling,Study1,M,Study Phase,Recall1,680,USM
TaravionCosey,carpet ,carpet,0.857142857,1,1,Read Recall,ceiling,Study1,M,Study Phase,Recall1,21744,USM
w10046339_pw,carpet,carpet,1,1,1,Read,ceiling,Study1,M,Study Phase,Recall1,2062,USM
W10057641NS,,carpet,0,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,247,USM
w10062326CT,carpet,carpet,1,1,1,Read,ceiling,Study1,M,Study Phase,Recall1,3255,USM
w10080028_sac,floor,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,1482,USM
w10085225L.S,fan,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,841,USM
w10101381_mgk,rug?,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,2654,USM
w10118390Eh,plaster,carpet,0.714285714,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,472,USM
w10128215_bnc,fan,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,2089,USM
w10133134_lpc,sky,carpet,0,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,1013,USM
w10143398_abc,floor,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,2601,USM
w10157282_HBR,roof,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,1374,USM
10143815SK,root,dance,0,0,1,Read,circle,Study1,M,Study Phase,Recall1,985,USM
BrettThompson,pizza,dance,0.2,0,1,Read Recall,circle,Study1,M,Study Phase,Recall1,2596,USM
BrookeMask,dance,dance,1,1,1,Read Recall,circle,Study1,M,Study Phase,Recall1,1585,USM
jasminesherman,,dance,0,0,1,Read Recall,circle,Study1,M,Study Phase,Recall1,771,USM
NicolasMunoz,,dance,0,0,1,Read Recall,circle,Study1,M,Study Phase,Recall1,962,USM
TaravionCosey,dance ,dance,0.833333333,1,1,Read Recall,circle,Study1,M,Study Phase,Recall1,9031,USM
w10046339_pw,dance,dance,1,1,1,Read,circle,Study1,M,Study Phase,Recall1,1828,USM
W10057641NS,,dance,0,0,1,Read,circle,Study1,M,Study Phase,Recall1,266,USM
w10062326CT,dance,dance,1,1,1,Read,circle,Study1,M,Study Phase,Recall1,3769,USM
w10080028_sac,,dance,0,0,1,Read,circle,Study1,M,Study Phase,Recall1,1041,USM
w10085225L.S,square,dance,0.333333333,0,1,Read,circle,Study1,M,Study Phase,Recall1,549,USM
w10101381_mgk,?,dance,0,0,1,Read,circle,Study1,M,Study Phase,Recall1,1497,USM
w10118390Eh,square,dance,0.333333333,0,1,Read,circle,Study1,M,Study Phase,Recall1,324,USM
w10128215_bnc,shape,dance,0.4,0,1,Read,circle,Study1,M,Study Phase,Recall1,1439,USM
w10133134_lpc,frank,dance,0.4,0,1,Read,circle,Study1,M,Study Phase,Recall1,1682,USM
w10143398_abc,idk,dance,0.2,0,1,Read,circle,Study1,M,Study Phase,Recall1,1802,USM
w10157282_HBR,round,dance,0.4,0,1,Read,circle,Study1,M,Study Phase,Recall1,1281,USM
10143815SK,,election,0,0,1,Read,crackle,Study1,U,Study Phase,Recall1,1024,USM
BrettThompson,pop,election,0.125,0,1,Read Recall,crackle,Study1,U,Study Phase,Recall1,2676,USM
BrookeMask,,election,0,0,1,Read Recall,crackle,Study1,U,Study Phase,Recall1,1438,USM
jasminesherman,,election,0,0,1,Read Recall,crackle,Study1,U,Study Phase,Recall1,725,USM
NicolasMunoz,electric,election,0.75,1,1,Read Recall,crackle,Study1,U,Study Phase,Recall1,2011,USM
TaravionCosey,election,election,1,1,1,Read Recall,crackle,Study1,U,Study Phase,Recall1,13393,USM
w10046339_pw,election,election,1,1,1,Read,crackle,Study1,U,Study Phase,Recall1,2675,USM
W10057641NS,,election,0,0,1,Read,crackle,Study1,U,Study Phase,Recall1,259,USM
w10062326CT,election,election,1,1,1,Read,crackle,Study1,U,Study Phase,Recall1,3619,USM
w10080028_sac,,election,0,0,1,Read,crackle,Study1,U,Study Phase,Recall1,2075,USM
w10085225L.S,fire,election,0.25,0,1,Read,crackle,Study1,U,Study Phase,Recall1,672,USM
w10101381_mgk,?,election,0,0,1,Read,crackle,Study1,U,Study Phase,Recall1,3435,USM
w10118390Eh,pop,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,480,USM
w10128215_bnc,pop,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,1574,USM
w10133134_lpc,pop,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,2249,USM
w10143398_abc,idk,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,2690,USM
w10157282_HBR,pop,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,2675,USM
10143815SK,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,1611,USM
BrettThompson,card,card,1,1,1,Read Recall,credit,Study1,F,Study Phase,Recall1,2529,USM
BrookeMask,card,card,1,1,1,Read Recall,credit,Study1,F,Study Phase,Recall1,817,USM
jasminesherman,,card,0,0,1,Read Recall,credit,Study1,F,Study Phase,Recall1,996,USM
NicolasMunoz,,card,0,0,1,Read Recall,credit,Study1,F,Study Phase,Recall1,2591,USM
TaravionCosey,card,card,1,1,1,Read Recall,credit,Study1,F,Study Phase,Recall1,9590,USM
w10046339_pw,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,1321,USM
W10057641NS,,card,0,0,1,Read,credit,Study1,F,Study Phase,Recall1,225,USM
w10062326CT,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,1834,USM
w10080028_sac,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,1406,USM
w10085225L.S,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,1699,USM
w10101381_mgk,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,1044,USM
w10118390Eh,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,529,USM
w10128215_bnc,money,card,0,0,1,Read,credit,Study1,F,Study Phase,Recall1,1564,USM
w10133134_lpc,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,997,USM
w10143398_abc,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,2833,USM
w10157282_HBR,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,1020,USM
10143815SK,,bottle,0,0,1,Read,cry,Study1,M,Study Phase,Recall1,1545,USM
BrettThompson,bottle,bottle,1,1,1,Read Recall,cry,Study1,M,Study Phase,Recall1,2005,USM
BrookeMask,sad,bottle,0,0,1,Read Recall,cry,Study1,M,Study Phase,Recall1,796,USM
jasminesherman,,bottle,0,0,1,Read Recall,cry,Study1,M,Study Phase,Recall1,5275,USM
NicolasMunoz,bottle,bottle,1,1,1,Read Recall,cry,Study1,M,Study Phase,Recall1,947,USM
TaravionCosey,bottle ,bottle,0.857142857,1,1,Read Recall,cry,Study1,M,Study Phase,Recall1,11638,USM
w10046339_pw,bottle,bottle,1,1,1,Read,cry,Study1,M,Study Phase,Recall1,1506,USM
W10057641NS,,bottle,0,0,1,Read,cry,Study1,M,Study Phase,Recall1,234,USM
w10062326CT,tear,bottle,0.333333333,0,1,Read,cry,Study1,M,Study Phase,Recall1,2879,USM
w10080028_sac,bottle,bottle,1,1,1,Read,cry,Study1,M,Study Phase,Recall1,1843,USM
w10085225L.S,baby,bottle,0.166666667,0,1,Read,cry,Study1,M,Study Phase,Recall1,1209,USM
w10101381_mgk,?,bottle,0,0,1,Read,cry,Study1,M,Study Phase,Recall1,3619,USM
w10118390Eh,laugh,bottle,0.166666667,0,1,Read,cry,Study1,M,Study Phase,Recall1,401,USM
w10128215_bnc,sad,bottle,0,0,1,Read,cry,Study1,M,Study Phase,Recall1,1905,USM
w10133134_lpc,happy,bottle,0,0,1,Read,cry,Study1,M,Study Phase,Recall1,1242,USM
w10143398_abc,bottle,bottle,1,1,1,Read,cry,Study1,M,Study Phase,Recall1,2249,USM
w10157282_HBR,sad,bottle,0,0,1,Read,cry,Study1,M,Study Phase,Recall1,1628,USM
10143815SK,night,dark,0,0,1,Read,day,Study1,M,Study Phase,Recall1,1127,USM
BrettThompson,suset,dark,0,0,1,Read Recall,day,Study1,M,Study Phase,Recall1,1876,USM
BrookeMask,night,dark,0,0,1,Read Recall,day,Study1,M,Study Phase,Recall1,404,USM
jasminesherman,,dark,0,0,1,Read Recall,day,Study1,M,Study Phase,Recall1,990,USM
NicolasMunoz,night,dark,0,0,1,Read Recall,day,Study1,M,Study Phase,Recall1,1178,USM
TaravionCosey,dark,dark,1,1,1,Read Recall,day,Study1,M,Study Phase,Recall1,15341,USM
w10046339_pw,dark,dark,1,1,1,Read,day,Study1,M,Study Phase,Recall1,1050,USM
W10057641NS,,dark,0,0,1,Read,day,Study1,M,Study Phase,Recall1,260,USM
w10062326CT,morning,dark,0.142857143,0,1,Read,day,Study1,M,Study Phase,Recall1,1359,USM
w10080028_sac,dark,dark,1,1,1,Read,day,Study1,M,Study Phase,Recall1,1283,USM
w10085225L.S,night,dark,0,0,1,Read,day,Study1,M,Study Phase,Recall1,721,USM
w10101381_mgk,?,dark,0,0,1,Read,day,Study1,M,Study Phase,Recall1,1082,USM
w10118390Eh,night,dark,0,0,1,Read,day,Study1,M,Study Phase,Recall1,461,USM
w10128215_bnc,weak,dark,0.5,0,1,Read,day,Study1,M,Study Phase,Recall1,1385,USM
w10133134_lpc,night,dark,0,0,1,Read,day,Study1,M,Study Phase,Recall1,1503,USM
w10143398_abc,dark,dark,1,1,1,Read,day,Study1,M,Study Phase,Recall1,1931,USM
w10157282_HBR,night,dark,0,0,1,Read,day,Study1,M,Study Phase,Recall1,1548,USM
10143815SK,,bang,0,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,84930,USM
BrettThompson,warm,bang,0.25,0,1,Read Recall,fuzzy,Study1,U,Study Phase,Recall1,2236,USM
BrookeMask,socks,bang,0,0,1,Read Recall,fuzzy,Study1,U,Study Phase,Recall1,501,USM
jasminesherman,,bang,0,0,1,Read Recall,fuzzy,Study1,U,Study Phase,Recall1,1637,USM
NicolasMunoz,,bang,0,0,1,Read Recall,fuzzy,Study1,U,Study Phase,Recall1,840,USM
TaravionCosey,bong,bang,0.75,1,1,Read Recall,fuzzy,Study1,U,Study Phase,Recall1,7667,USM
w10046339_pw,silk,bang,0,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,1438,USM
W10057641NS,,bang,0,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,239,USM
w10062326CT,bomb,bang,0.25,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,4097,USM
w10080028_sac,bang,bang,1,1,1,Read,fuzzy,Study1,U,Study Phase,Recall1,1173,USM
w10085225L.S,socks,bang,0,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,858,USM
w10101381_mgk,?,bang,0,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,2760,USM
w10118390Eh,dog,bang,0.25,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,646,USM
w10128215_bnc,,bang,0,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,2066,USM
w10133134_lpc,furry,bang,0,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,1389,USM
w10143398_abc,hard,bang,0.25,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,2329,USM
w10157282_HBR,soft,bang,0,0,1,Read,fuzzy,Study1,U,Study Phase,Recall1,1433,USM
10143815SK,,steak,0,0,1,Read,give,Study1,U,Study Phase,Recall1,2245,USM
BrettThompson,taken,steak,0.8,1,1,Read Recall,give,Study1,U,Study Phase,Recall1,25679,USM
BrookeMask,take,steak,0.8,1,1,Read Recall,give,Study1,U,Study Phase,Recall1,840,USM
jasminesherman,,steak,0,0,1,Read Recall,give,Study1,U,Study Phase,Recall1,771,USM
NicolasMunoz,steak,steak,1,1,1,Read Recall,give,Study1,U,Study Phase,Recall1,1319,USM
TaravionCosey,steak,steak,1,1,1,Read Recall,give,Study1,U,Study Phase,Recall1,8731,USM
w10046339_pw,take,steak,0.8,1,1,Read,give,Study1,U,Study Phase,Recall1,1488,USM
W10057641NS,,steak,0,0,1,Read,give,Study1,U,Study Phase,Recall1,267,USM
w10062326CT,hand,steak,0.2,0,1,Read,give,Study1,U,Study Phase,Recall1,2860,USM
w10080028_sac,steak,steak,1,1,1,Read,give,Study1,U,Study Phase,Recall1,1350,USM
w10085225L.S,take,steak,0.8,1,1,Read,give,Study1,U,Study Phase,Recall1,596,USM
w10101381_mgk,?,steak,0,0,1,Read,give,Study1,U,Study Phase,Recall1,2667,USM
w10118390Eh,take,steak,0.8,1,1,Read,give,Study1,U,Study Phase,Recall1,512,USM
w10128215_bnc,,steak,0,0,1,Read,give,Study1,U,Study Phase,Recall1,1065,USM
w10133134_lpc,take,steak,0.8,1,1,Read,give,Study1,U,Study Phase,Recall1,2569,USM
w10143398_abc,steak,steak,1,1,1,Read,give,Study1,U,Study Phase,Recall1,2559,USM
w10157282_HBR,take,steak,0.8,1,1,Read,give,Study1,U,Study Phase,Recall1,1226,USM
10143815SK,,cotton,0,0,1,Read,hard,Study1,M,Study Phase,Recall1,2178,USM
BrettThompson,marble,cotton,0,0,1,Read Recall,hard,Study1,M,Study Phase,Recall1,3682,USM
BrookeMask,surface,cotton,0.142857143,0,1,Read Recall,hard,Study1,M,Study Phase,Recall1,425,USM
jasminesherman,,cotton,0,0,1,Read Recall,hard,Study1,M,Study Phase,Recall1,782,USM
NicolasMunoz,soft,cotton,0.333333333,0,1,Read Recall,hard,Study1,M,Study Phase,Recall1,829,USM
TaravionCosey,soft,cotton,0.333333333,0,1,Read Recall,hard,Study1,M,Study Phase,Recall1,9506,USM
w10046339_pw,ball,cotton,0,0,1,Read,hard,Study1,M,Study Phase,Recall1,1754,USM
W10057641NS,,cotton,0,0,1,Read,hard,Study1,M,Study Phase,Recall1,262,USM
w10062326CT,cotton,cotton,1,1,1,Read,hard,Study1,M,Study Phase,Recall1,2617,USM
w10080028_sac,,cotton,0,0,1,Read,hard,Study1,M,Study Phase,Recall1,1826,USM
w10085225L.S,soft,cotton,0.333333333,0,1,Read,hard,Study1,M,Study Phase,Recall1,320,USM
w10101381_mgk,?,cotton,0,0,1,Read,hard,Study1,M,Study Phase,Recall1,1987,USM
w10118390Eh,rough,cotton,0.166666667,0,1,Read,hard,Study1,M,Study Phase,Recall1,479,USM
w10128215_bnc,soft,cotton,0.333333333,0,1,Read,hard,Study1,M,Study Phase,Recall1,1343,USM
w10133134_lpc,rough,cotton,0.166666667,0,1,Read,hard,Study1,M,Study Phase,Recall1,1734,USM
w10143398_abc,idk,cotton,0,0,1,Read,hard,Study1,M,Study Phase,Recall1,2211,USM
w10157282_HBR,soft,cotton,0.333333333,0,1,Read,hard,Study1,M,Study Phase,Recall1,1010,USM
10143815SK,,wheel,0,0,1,Read,horse,Study1,M,Study Phase,Recall1,3373,USM
BrettThompson,mule,wheel,0.4,0,1,Read Recall,horse,Study1,M,Study Phase,Recall1,2139,USM
BrookeMask,ride,wheel,0.2,0,1,Read Recall,horse,Study1,M,Study Phase,Recall1,576,USM
jasminesherman,,wheel,0,0,1,Read Recall,horse,Study1,M,Study Phase,Recall1,742,USM
NicolasMunoz,,wheel,0,0,1,Read Recall,horse,Study1,M,Study Phase,Recall1,870,USM
TaravionCosey,wheel ,wheel,0.833333333,1,1,Read Recall,horse,Study1,M,Study Phase,Recall1,21952,USM
w10046339_pw,ride,wheel,0.2,0,1,Read,horse,Study1,M,Study Phase,Recall1,1305,USM
W10057641NS,,wheel,0,0,1,Read,horse,Study1,M,Study Phase,Recall1,222,USM
w10062326CT,wheel,wheel,1,1,1,Read,horse,Study1,M,Study Phase,Recall1,2493,USM
w10080028_sac,wheel,wheel,1,1,1,Read,horse,Study1,M,Study Phase,Recall1,1778,USM
w10085225L.S,cow,wheel,0.2,0,1,Read,horse,Study1,M,Study Phase,Recall1,2766,USM
w10101381_mgk,?,wheel,0,0,1,Read,horse,Study1,M,Study Phase,Recall1,3146,USM
w10118390Eh,ride,wheel,0.2,0,1,Read,horse,Study1,M,Study Phase,Recall1,463,USM
w10128215_bnc,saddle,wheel,0.333333333,0,1,Read,horse,Study1,M,Study Phase,Recall1,1500,USM
w10133134_lpc,ride,wheel,0.2,0,1,Read,horse,Study1,M,Study Phase,Recall1,1815,USM
w10143398_abc,idk,wheel,0,0,1,Read,horse,Study1,M,Study Phase,Recall1,2926,USM
w10157282_HBR,carriage,wheel,0.125,0,1,Read,horse,Study1,M,Study Phase,Recall1,2246,USM
10143815SK,clean,clean,1,1,1,Read,hygiene,Study1,F,Study Phase,Recall1,1827,USM
BrettThompson,clean,clean,1,1,1,Read Recall,hygiene,Study1,F,Study Phase,Recall1,3002,USM
BrookeMask,clean,clean,1,1,1,Read Recall,hygiene,Study1,F,Study Phase,Recall1,854,USM
jasminesherman,clean,clean,1,1,1,Read Recall,hygiene,Study1,F,Study Phase,Recall1,2417,USM
NicolasMunoz,clean,clean,1,1,1,Read Recall,hygiene,Study1,F,Study Phase,Recall1,1011,USM
TaravionCosey,clean ,clean,0.833333333,1,1,Read Recall,hygiene,Study1,F,Study Phase,Recall1,9216,USM
w10046339_pw,clean,clean,1,1,1,Read,hygiene,Study1,F,Study Phase,Recall1,1963,USM
W10057641NS,,clean,0,0,1,Read,hygiene,Study1,F,Study Phase,Recall1,204,USM
w10062326CT,clean,clean,1,1,1,Read,hygiene,Study1,F,Study Phase,Recall1,831,USM
w10080028_sac,clean,clean,1,1,1,Read,hygiene,Study1,F,Study Phase,Recall1,2192,USM
w10085225L.S,clean,clean,1,1,1,Read,hygiene,Study1,F,Study Phase,Recall1,1575,USM
w10101381_mgk,?,clean,0,0,1,Read,hygiene,Study1,F,Study Phase,Recall1,1578,USM
w10118390Eh,brush,clean,0,0,1,Read,hygiene,Study1,F,Study Phase,Recall1,630,USM
w10128215_bnc,shower,clean,0.166666667,0,1,Read,hygiene,Study1,F,Study Phase,Recall1,1579,USM
w10133134_lpc,clean,clean,1,1,1,Read,hygiene,Study1,F,Study Phase,Recall1,1266,USM
w10143398_abc,clean,clean,1,1,1,Read,hygiene,Study1,F,Study Phase,Recall1,1223,USM
w10157282_HBR,clean,clean,1,1,1,Read,hygiene,Study1,F,Study Phase,Recall1,1190,USM
10143815SK,hunt,rod,0,0,1,Read,keys,Study1,U,Study Phase,Recall1,1233,USM
